# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
-3208216120833537346	RPC_NETWORK_ERROR_DIALOG_TITLE	Verbindungsfehler	
120322519350465199	RPC_NETWORK_ERROR_DIALOG_MESSAGE	Kommunikation mit dem Server fehlgeschlagen. Bitte überprüfe die Netzwerkeinstellungen deines Geräts sowie die Umgebung und versuche es erneut.	
1295101996930540142	RPC_NETWORK_ERROR_DIALOG_RETRY	Erneut	
8035254070518805654	RPC_NETWORK_ERROR_DIALOG_LOGOUT	Abmelden	
-3050645190285210651	RPC_LOW_NETWORK_CONNECTIVITY	Schwache Netzwerkverbindung.	
4512608309946328130	LOGIN_PROVIDER_SUPER_AWESOME	NIANTIC KIDS	
-8965300778396787175	SUPER_AWESOME_REGISTER_URL	https://niantic-sso.kws.superawesome.tv/de/register	
6270310653121693548	SUPER_AWESOME_FORGOT_PASSWORD_URL	https://niantic-sso.kws.superawesome.tv/de/password/forgot	
-7626676094642488070	SUPER_AWESOME_REGISTER_LINK	NIANTIC KIDS-Registrierung	
3275053985847360669	SUPER_AWESOME_FORGOT_PASSWORD_LINK	Passwort vergessen?	
5982968124835893551	SUPER_AWESOME_LOGIN_BUTTON_LABEL	ANMELDEN	
3964752675042012136	WARNING_NO_PARENT_PERMISSION	Bevor du diese App nutzen kannst, müssen die nötigen Berechtigungen aktiviert werden. Bitte einen Erwachsenen, die Berechtigungseinstellungen zu aktualisieren.	
-7441700699426561529	WARNING_NO_PARENT_LOCATION_PERMISSION	Bevor du diese App nutzen kannst, muss die Standortberechtigung aktiviert werden. Bitte einen Erwachsenen, die Berechtigungseinstellungen zu aktualisieren.	
-5865499962591753408	NINTENDO_LOGIN_LINK_DIALOG_TITLE	Möchtest du einen Nintendo-Account verknüpfen?	
2431161683080852335	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION	Wenn du deinen Nintendo-Account verknüpfst, kannst du dein eigenes Mii verwenden.	
-3609274247829970764	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION_BONUS	Du erhältst auch einen besonderen Keim, wenn du deinen Nintendo-Account zum ersten Mal verknüpfst.	
3926443522744415828	NINTENDO_LOGIN_LINK_BUTTON	Jetzt verknüpfen	
-5552338891179848182	NINTENDO_LOGIN_BONUS_DIALOG_TITLE	Du hast einen besonderen Keim für das Verknüpfen deines Nintendo-Accounts bekommen!	
-5675915195141523149	NINTENDO_LOGIN_BONUS_DIALOG_DESCRIPTION	Ein besonderer Keim wurde deiner Keim-Liste hinzugefügt.	
6467743691056327219	NINTENDO_LOGIN_BONUS_DIALOG_DESCRIPTION_2	Du kannst jetzt das Mii deines Nintendo-Accounts wählen.	
-4873722125508925441	INCONSISTENT_AGE_LEVEL_WITH_ADULT_PLAYER	Du kannst dich nicht mit einem Kinder-Account anmelden.	
-3718907272190744923	INCONSISTENT_AGE_LEVEL_WITH_KIDS_PLAYER	Dies ist ein Erwachsenen-Account. \nDu bist zu jung, um dich mit diesem Account anzumelden.	
-1814714920489092509	NINTENDO_LOGIN_NO_MII_SET_DIALOG_DESCRIPTION	Es wurde kein Mii für das verknüpfte Konto festgelegt. Bitte erstelle ein neues Mii, indem du auf „[Mii erstellen]“ tippst.	
-472925358362562323	ACCOUNT_LINK_CANCEL	Verknüpfung wurde abgebrochen.	
-5635259498562488152	FACEBOOK_LOGIN_REQUIRES_APP_TRACKING_PERMISSION	Um dein Facebook-Konto nutzen zu können, musst du Pikmin Bloom erlauben, deine Aktivitäten in Apps und auf Websites zu verwenden.\nHinweis: Wenn die Tracking-Berechtigung in den Datenschutz-Einstellungen nicht aktiviert ist, befolge diese Anweisungen, um sie zu aktivieren. (Du musst ebenfalls individuelle Einstellungen für Pikmin Bloom vornehmen, nachdem die Berechtigung aktiviert wurde) \n\n1. Öffne „Einstellungen“ und dann „Datenschutz“\n2. Wähle „Tracking“ aus und aktiviere „Apps erlauben, Tracking anzufordern“.	
1932032625298045791	FACEBOOK_LOGIN_PERMISSION_FAILED	Die nötigen Berechtigungen wurden nicht gewährt.	
-4791526398844371231	FACEBOOK_LOGIN_UNLINK_UNLESS_PERMISSION_GRANTED	Verknüpfung mit Facebook-Konto aufheben	
-6261744157366888903	LOGIN_FAILED_ERROR	Während der Anmeldung mit deinem Konto ist ein Fehler aufgetreten.	
-1662518649216984564	LOGIN_PROVIDER_SELECTOR_TITLE	ANMELDEN MIT...	
5990203908445262045	LOGIN_AGE_GATE_SUBMIT	Abschicken	
7171094051530659721	LOGIN_SIGN_IN_PROVIDER_SELECT	Anmelden mit...	
-8063419419280099460	LOGIN_NEW_ACCOUNT_PROVIDER_SELECT	Konto erstellen mit...	
-2503503188688998315	LOGIN_PROVIDER_GOOGLE	Google	
8644943804602915250	LOGIN_PROVIDER_FACEBOOK	Facebook	
-380381717348982401	LOGIN_PROVIDER_APPLE	Apple	
1670268103353373479	LOGIN_PROVIDER_NINTENDO	Nintendo	
5129733746667304330	LINK_FAILURE_WITH_KIDS_ACCOUNT	Verknüpfung mit Kinder-Accounts nicht möglich.	
-5106856330037283941	TITLE_ACCOUNT_PERMANENTLY_BANNED	Benachrichtigung zur Löschung des Kontos	
6896609452290178645	TITLE_ACCOUNT_TEMPORARILY_SUSPENDED	Benachrichtigung zur Sperrung des Kontos	
8682783416889457618	WARNING_ACCOUNT_PERMANENTLY_BANNED	Dein Konto wurde dauerhaft gelöscht, da gegen die Nutzungsbedingungen verstoßen wurde.	
-1146777523130602812	WARNING_ACCOUNT_TEMPORARILY_SUSPENDED	Dein Konto wurde gesperrt, da gegen die Nutzungsbedingungen verstoßen wurde.	
3550607850365094643	WARNING_UNAUTHORIZED_DEVICE	Dieses Gerät, sein Betriebssystem oder andere Software ist nicht mit Pikmin Bloom kompatibel.	
262310736144758494	WARNING_ACCOUNT_NOT_ALLOWED	Die E-Mail-Adresse „%s“ hat keine Zugangsberechtigung. Bitte versuche es erneut mit der E-Mail-Adresse, mit der du dich für das Betatest-Programm registriert hast.	
-7841180612166439923	WARNING_ACCOUNT_DOES_NOT_EXIST	Die Anmeldung ist fehlgeschlagen. Bitte überprüfe, ob dieses Konto wirklich besteht und du aus den Optionen „Anmelden“ und „Neues Konto“ die richtige ausgewählt hast.	
-386184206609956069	NINTENDO_ACCOUNT_NEW_USER_WARNING	Wenn du dich mit deinem Nintendo-Account anmeldest, kannst du ihn nicht mit deinem bestehenden Niantic-Konto verknüpfen.\n Wenn du dein Niantic-Konto verknüpfen willst, melde dich bitte mit deinem bestehenden Niantic-Konto an und verknüpfe deinen Nintendo-Account danach.	
3873863273646286372	NINTENDO_ACCOUNT_NEW_USER_WARNING_TITLE	Spielst du andere Niantic-Spiele?	
-7190375469370652674	FAQ_PARENTAL_PERMISSION_URL	https://niantic.helpshift.com/a/pikmin-bloom/?p=web&amp%3Bs=release-notes-and-known-issues&amp%3Bf=faq-and-known-issues&amp%3Bl=de&l=de	
8289170337175643231	WARNING_REGION_NOT_ALLOWED	Pikmin Bloom ist derzeit in deiner Region nicht verfügbar. Wir entschuldigen uns für etwaige Unannehmlichkeiten.	
499521323141124426	NIANTIC_KIDS_LOGIN_URL	https://app.parents.nianticlabs.com/de/login	
5513706700721524041	ACTION_BACK_TO_PREVIOUS	Zurück	
