# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
-3208216120833537346	RPC_NETWORK_ERROR_DIALOG_TITLE	Network Error	
120322519350465199	RPC_NETWORK_ERROR_DIALOG_MESSAGE	Failed to communicate with the server. Please check your device's network settings and environment and try again.	
1295101996930540142	RPC_NETWORK_ERROR_DIALOG_RETRY	Retry	
8035254070518805654	RPC_NETWORK_ERROR_DIALOG_LOGOUT	Logout	
-3050645190285210651	RPC_LOW_NETWORK_CONNECTIVITY	Low network connectivity.	
4512608309946328130	LOGIN_PROVIDER_SUPER_AWESOME	NIANTIC KIDS	
-8965300778396787175	SUPER_AWESOME_REGISTER_URL	https://niantic-sso.kws.superawesome.tv/en/register	
6270310653121693548	SUPER_AWESOME_FORGOT_PASSWORD_URL	https://niantic-sso.kws.superawesome.tv/en/password/forgot	
-7626676094642488070	SUPER_AWESOME_REGISTER_LINK	Register NIANTIC KIDS	
3275053985847360669	SUPER_AWESOME_FORGOT_PASSWORD_LINK	Forgot password?	
5982968124835893551	SUPER_AWESOME_LOGIN_BUTTON_LABEL	LOGIN	
3964752675042012136	WARNING_NO_PARENT_PERMISSION	To use this app, you will need to get permission. Ask an adult for help updating permission settings.	
-7441700699426561529	WARNING_NO_PARENT_LOCATION_PERMISSION	To use this app, you will need to get permission to use your location. Ask an adult for help updating permission settings.	
-5865499962591753408	NINTENDO_LOGIN_LINK_DIALOG_TITLE	Do you want to link a Nintendo Account?	
2431161683080852335	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION	You will be able to use your own Mii when you link your Nintendo Account.	
-3609274247829970764	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION_BONUS	You will also receive a special seedling when you link your Nintendo Account for the first time.	
3926443522744415828	NINTENDO_LOGIN_LINK_BUTTON	Link Now	
-5552338891179848182	NINTENDO_LOGIN_BONUS_DIALOG_TITLE	You got a special seedling for linking your Nintendo Account!	
-5675915195141523149	NINTENDO_LOGIN_BONUS_DIALOG_DESCRIPTION	A special seedling has been added to your seedling list.	
6467743691056327219	NINTENDO_LOGIN_BONUS_DIALOG_DESCRIPTION_2	You can now choose your Nintendo Account's Mii.	
-4873722125508925441	INCONSISTENT_AGE_LEVEL_WITH_ADULT_PLAYER	You cannot login with a kids account.	
-3718907272190744923	INCONSISTENT_AGE_LEVEL_WITH_KIDS_PLAYER	This is an adult account. \nYou are too young to log in with this account.	
