# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
-3208216120833537346	RPC_NETWORK_ERROR_DIALOG_TITLE	Errore di rete	
120322519350465199	RPC_NETWORK_ERROR_DIALOG_MESSAGE	Impossibile comunicare con il server. Controlla l'ambiente e le impostazioni di rete del tuo dispositivo, quindi riprova.	
1295101996930540142	RPC_NETWORK_ERROR_DIALOG_RETRY	Riprova	
8035254070518805654	RPC_NETWORK_ERROR_DIALOG_LOGOUT	Esci	
-3050645190285210651	RPC_LOW_NETWORK_CONNECTIVITY	Scarsa connettività di rete.	
4512608309946328130	LOGIN_PROVIDER_SUPER_AWESOME	NIANTIC KIDS	
-8965300778396787175	SUPER_AWESOME_REGISTER_URL	https://niantic-sso.kws.superawesome.tv/it/register	
6270310653121693548	SUPER_AWESOME_FORGOT_PASSWORD_URL	https://niantic-sso.kws.superawesome.tv/it/password/forgot	
-7626676094642488070	SUPER_AWESOME_REGISTER_LINK	Registrati a NIANTIC KIDS	
3275053985847360669	SUPER_AWESOME_FORGOT_PASSWORD_LINK	Password dimenticata?	
5982968124835893551	SUPER_AWESOME_LOGIN_BUTTON_LABEL	ACCEDI	
3964752675042012136	WARNING_NO_PARENT_PERMISSION	Devi avere l'autorizzazione per utilizzare questa app. Chiedi a un adulto di aiutarti ad aggiornare le impostazioni delle autorizzazioni.	
-7441700699426561529	WARNING_NO_PARENT_LOCATION_PERMISSION	Devi avere l'autorizzazione a utilizzare la tua posizione per poter giocare a questa app. Chiedi a un adulto di aiutarti ad aggiornare le impostazioni delle autorizzazioni.	
-5865499962591753408	NINTENDO_LOGIN_LINK_DIALOG_TITLE	Vuoi collegare un account Nintendo?	
2431161683080852335	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION	Potrai utilizzare il tuo Mii collegando il tuo account Nintendo.	
-3609274247829970764	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION_BONUS	Collegando il tuo account Nintendo per la prima volta, riceverai anche una piantina speciale.	
3926443522744415828	NINTENDO_LOGIN_LINK_BUTTON	Collega	
-5552338891179848182	NINTENDO_LOGIN_BONUS_DIALOG_TITLE	Hai ricevuto una piantina speciale per aver collegato il tuo account Nintendo!	
-5675915195141523149	NINTENDO_LOGIN_BONUS_DIALOG_DESCRIPTION	Una piantina speciale è stata aggiunta alla tua lista piantine.	
6467743691056327219	NINTENDO_LOGIN_BONUS_DIALOG_DESCRIPTION_2	Ora puoi scegliere il Mii del tuo account Nintendo.	
-4873722125508925441	INCONSISTENT_AGE_LEVEL_WITH_ADULT_PLAYER	Non puoi accedere con un account per bambini.	
-3718907272190744923	INCONSISTENT_AGE_LEVEL_WITH_KIDS_PLAYER	Questo è un account per adulti.\nSei troppo giovane per accedere con questo account.	
-1814714920489092509	NINTENDO_LOGIN_NO_MII_SET_DIALOG_DESCRIPTION	Nell'account collegato non ci sono Mii impostati. Crea un nuovo Mii toccando il pulsante [Crea Mii].	
-472925358362562323	ACCOUNT_LINK_CANCEL	Il collegamento all'account è stato annullato.	
-5635259498562488152	FACEBOOK_LOGIN_REQUIRES_APP_TRACKING_PERMISSION	Devi autorizzare Pikmin Bloom a usare la tua attività nelle app e nei siti web per poter utilizzare il tuo account Facebook.\nNota: se il tracciamento non è autorizzato nelle impostazioni della privacy, segui queste istruzioni per abilitarlo (dovrai anche configurare le impostazioni individuali per Pikmin Bloom una volta concessa l'autorizzazione): \n\n1. Apri le impostazioni e vai su "Privacy".\n2. Tocca "Tracciamento" e attiva "Richiesta tracciamento attività".	
1932032625298045791	FACEBOOK_LOGIN_PERMISSION_FAILED	Le autorizzazioni necessarie non sono state concesse.	
-4791526398844371231	FACEBOOK_LOGIN_UNLINK_UNLESS_PERMISSION_GRANTED	Scollega account Facebook	
-6261744157366888903	LOGIN_FAILED_ERROR	Si è verificato un errore durante l'accesso al tuo account.	
-1662518649216984564	LOGIN_PROVIDER_SELECTOR_TITLE	ACCEDI CON...	
5990203908445262045	LOGIN_AGE_GATE_SUBMIT	Invia	
7171094051530659721	LOGIN_SIGN_IN_PROVIDER_SELECT	Accedi con	
-8063419419280099460	LOGIN_NEW_ACCOUNT_PROVIDER_SELECT	Crea il tuo account con	
-2503503188688998315	LOGIN_PROVIDER_GOOGLE	Google	
8644943804602915250	LOGIN_PROVIDER_FACEBOOK	Facebook	
-380381717348982401	LOGIN_PROVIDER_APPLE	Apple	
1670268103353373479	LOGIN_PROVIDER_NINTENDO	Nintendo	
5129733746667304330	LINK_FAILURE_WITH_KIDS_ACCOUNT	Non puoi collegare un account per bambini.	
-5106856330037283941	TITLE_ACCOUNT_PERMANENTLY_BANNED	Avviso di chiusura dell'account	
6896609452290178645	TITLE_ACCOUNT_TEMPORARILY_SUSPENDED	Avviso di sospensione dell'account	
8682783416889457618	WARNING_ACCOUNT_PERMANENTLY_BANNED	Il tuo account è stato chiuso definitivamente perché hai violato i termini di servizio.	
