# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
-3208216120833537346	RPC_NETWORK_ERROR_DIALOG_TITLE	Erro de rede	
120322519350465199	RPC_NETWORK_ERROR_DIALOG_MESSAGE	Falha na comunicação com o servidor. Verifique o ambiente e as configurações de rede do dispositivo e tente novamente.	
1295101996930540142	RPC_NETWORK_ERROR_DIALOG_RETRY	Tentar novamente	
8035254070518805654	RPC_NETWORK_ERROR_DIALOG_LOGOUT	Sair	
-3050645190285210651	RPC_LOW_NETWORK_CONNECTIVITY	Baixa conectividade.	
4512608309946328130	LOGIN_PROVIDER_SUPER_AWESOME	NIANTIC KIDS	
-8965300778396787175	SUPER_AWESOME_REGISTER_URL	https://niantic-sso.kws.superawesome.tv/pt-br/register	
6270310653121693548	SUPER_AWESOME_FORGOT_PASSWORD_URL	https://niantic-sso.kws.superawesome.tv/pt-br/password/forgot	
-7626676094642488070	SUPER_AWESOME_REGISTER_LINK	Inscrever-se no NIANTIC KIDS	
3275053985847360669	SUPER_AWESOME_FORGOT_PASSWORD_LINK	Esqueceu a senha?	
5982968124835893551	SUPER_AWESOME_LOGIN_BUTTON_LABEL	ENTRAR	
3964752675042012136	WARNING_NO_PARENT_PERMISSION	Para usar este aplicativo, você precisa de permissão. Peça para seus pais ou responsáveis atualizarem as suas permissões.	
-7441700699426561529	WARNING_NO_PARENT_LOCATION_PERMISSION	Para usar este aplicativo, você precisa da permissão de localização. Peça para seus pais ou responsáveis atualizarem as suas permissões.	
-5865499962591753408	NINTENDO_LOGIN_LINK_DIALOG_TITLE	Você quer vincular uma conta Nintendo?	
2431161683080852335	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION	Ao vincular sua conta Nintendo, você pode usar seu Mii.	
-3609274247829970764	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION_BONUS	Você também receberá uma plântula especial ao vincular a sua conta Nintendo pela primeira vez.	
3926443522744415828	NINTENDO_LOGIN_LINK_BUTTON	Vincular agora	
-5552338891179848182	NINTENDO_LOGIN_BONUS_DIALOG_TITLE	Você recebeu uma plântula especial por vincular sua conta Nintendo!	
-5675915195141523149	NINTENDO_LOGIN_BONUS_DIALOG_DESCRIPTION	Uma plântula especial foi adicionada à lista de plântulas.	
6467743691056327219	NINTENDO_LOGIN_BONUS_DIALOG_DESCRIPTION_2	Agora você pode escolher o Mii da sua conta Nintendo.	
-4873722125508925441	INCONSISTENT_AGE_LEVEL_WITH_ADULT_PLAYER	Não é possível fazer login com uma conta de criança.	
-3718907272190744923	INCONSISTENT_AGE_LEVEL_WITH_KIDS_PLAYER	Esta é uma conta de adulto. \nVocê é jovem demais para fazer login com ela.	
-1814714920489092509	NINTENDO_LOGIN_NO_MII_SET_DIALOG_DESCRIPTION	A conta vinculada não tem um Mii configurado. Use o botão [Criar Mii] para criar um novo Mii.	
-472925358362562323	ACCOUNT_LINK_CANCEL	O vínculo da conta foi cancelado.	
-5635259498562488152	FACEBOOK_LOGIN_REQUIRES_APP_TRACKING_PERMISSION	Para poder usar sua conta do Facebook, você precisará permitir que o Pikmin Bloom use suas atividades em apps e sites.\nObservação: se a permissão de monitoramento não estiver habilitada em suas configurações de privacidade, siga as instruções a seguir para habilitá-la (você também precisará configurar a opção individual do Pikmin Bloom depois de dar a permissão) \n\n1. Abra as configurações e acesse “Privacidade”\n2. Toque em “Rastreamento” e ative a opção “Permitir Solicitações”.	
1932032625298045791	FACEBOOK_LOGIN_PERMISSION_FAILED	As permissões necessárias não foram concedidas.	
-4791526398844371231	FACEBOOK_LOGIN_UNLINK_UNLESS_PERMISSION_GRANTED	Desvincular conta do Facebook	
-6261744157366888903	LOGIN_FAILED_ERROR	Ocorreu um erro ao iniciar a sessão com sua conta.	
-1662518649216984564	LOGIN_PROVIDER_SELECTOR_TITLE	INICIAR SESSÃO COM...	
5990203908445262045	LOGIN_AGE_GATE_SUBMIT	Enviar	
7171094051530659721	LOGIN_SIGN_IN_PROVIDER_SELECT	Iniciar sessão com	
-8063419419280099460	LOGIN_NEW_ACCOUNT_PROVIDER_SELECT	Criar conta com	
-2503503188688998315	LOGIN_PROVIDER_GOOGLE	Google	
8644943804602915250	LOGIN_PROVIDER_FACEBOOK	Facebook	
-380381717348982401	LOGIN_PROVIDER_APPLE	Apple	
1670268103353373479	LOGIN_PROVIDER_NINTENDO	Nintendo	
5129733746667304330	LINK_FAILURE_WITH_KIDS_ACCOUNT	Não é possível vincular com contas de crianças.	
-5106856330037283941	TITLE_ACCOUNT_PERMANENTLY_BANNED	Aviso de encerramento de conta	
6896609452290178645	TITLE_ACCOUNT_TEMPORARILY_SUSPENDED	Aviso de suspensão de conta	
8682783416889457618	WARNING_ACCOUNT_PERMANENTLY_BANNED	A sua conta foi encerrada permanentemente por violar os termos de serviço.	
-1146777523130602812	WARNING_ACCOUNT_TEMPORARILY_SUSPENDED	A sua conta foi suspensa por violar os termos de serviço. A duração dessa suspensão é de aproximadamente 30 dias. Qualquer nova transgressão resultará no encerramento permanente da conta.	
3550607850365094643	WARNING_UNAUTHORIZED_DEVICE	Este dispositivo, sistema operacional ou demais software não são compatíveis com Pikmin Bloom.	
262310736144758494	WARNING_ACCOUNT_NOT_ALLOWED	O endereço de e-mail %s não recebeu permissão. Tente novamente com o endereço de e-mail que você usou para se inscrever no programa beta.	
-7841180612166439923	WARNING_ACCOUNT_DOES_NOT_EXIST	Não foi possível iniciar a sessão. Verifique se você está usando uma conta que já existe e que fez a seleção certa entre "Iniciar sessão" e "Criar nova conta".	
-386184206609956069	NINTENDO_ACCOUNT_NEW_USER_WARNING	Se fizer login com sua conta Nintendo, você não poderá vincular sua conta Niantic existente. \n Se quiser vincular sua conta Niantic, primeiro faça login com ela e depois vincule sua conta Nintendo.	
3873863273646286372	NINTENDO_ACCOUNT_NEW_USER_WARNING_TITLE	Você joga outros jogos da Niantic?	
