# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
8777369050861064539	PLANTER_1_NAME	Fioriera comune	
-1112053924766362592	PLANTER_2_NAME	Fioriera graziosa	
-6233535529314237238	PLANTER_3_NAME	Fioriera grande	
-4691088522159476790	LIFELOG_STEPS_SUFFIX	passo	passi
-843760519162212112	ACTION_OK	OK	
8485757493794925261	ACTION_CANCEL	Annulla	
1887912674991085417	SETTINGS_TITLE	Impostazioni	
-5895459861510431520	SETTINGS_NICKNAME	Nome utente	
-4232602392541329747	SHOP_BUTTON	Negozio	
-1276349162775328464	FLOWER_PLANTING_START_CONFIRMATION	Vuoi iniziare a piantare fiori intorno a te?	
2393850012421393251	FLOWER_PLANTING_STOP_CONFIRMATION	Vuoi smettere di piantare fiori?	
-806278199259073555	FLOWER_PLANTING_FINISHED	Finito di piantare!	
4752883491115650407	FLOWER_PLANTING_START	Inizia	
-3756020214398490248	FLOWER_PLANTING_STOP	Interrompi	
8657144769817644546	START_SCREEN_STEPS_SUFFIX	passo	
-5739613410102627532	SEED_1_NAME	Piantina rossa	
-5586080344720773195	SEED_2_NAME	Gettone foresta	
-749140861536688064	SEED_3_NAME	Piantina enorme	
3824449129596672673	SEED_4_NAME	Piantina dorata	
8346726224409759480	SEED_5_NAME	Piantina blu	
-8664268734149848348	SEED_6_NAME	Piantina gialla	
6535486909850280477	SEED_7_NAME	Piantina bianca	
3278519453534675295	SEED_8_NAME	Piantina viola	
39250091635547891	SEED_9_NAME	Piantina grigia	
3840861126252085150	SEED_10_NAME	Piantina rosa	
7457746253201982729	SEED_11_NAME	Seme viola insolito	
-218077776679422519	SEED_12_NAME	Seme rosso raro	
6992028916918964606	SEED_13_NAME	Seme blu raro	
8874970018999795371	SEED_14_NAME	Seme giallo raro	
8696980883235120747	SEED_15_NAME	Seme viola raro	
-5805314665824740601	FLOWER_PLANTING_FINISHED_PUSH_TITLE	PikminApp	
-8702833197454164005	BOOT_ERROR_RETRY_ACTION	Riprova	
-7006993197821614531	BOOT_ERROR_SERVER_UNREACHABLE_TITLE	Impossibile collegarsi al server.	
-6934986790882215623	BOOT_ERROR_UNKNOWN_DESCRIPTION	Controlla la tua connessione di rete.	
-2348885925547706723	STATUS_POPUP_ERROR	Errore	
4407614562937896451	STATUS_POPUP_NETWORK_ERROR	Errore di rete	
-3476498755781314161	RELEASE_PIKMIN	Lascia andare %d	
2429108968833458839	LIFELOG_DIARY_SAVE	Salva	
9166744434368775528	LIFELOG_FLOWER_COUNT_SUFFIX	fiore	
6430790157325690617	DURATION_DAYS	%d giorno	%d giorni
-4358946633994413085	DURATION_HOURS	%d ora	%d ore
5090786224208365218	DURATION_MINUTES	%d minuto	%d minuti
-4781863217097845354	DURATION_SECONDS	%d secondo	%d secondi
-9075047459596506242	ACTION_DONE	Fatto	
149250004464972476	PROFILE_TOTAL_DISTANCE_WALKED	Distanza totale percorsa	
-7269092602005762192	PROFILE_TOTAL_STEPS	%s passo totale	%s passi totali
-2587145075203409785	AVATAR_EDITOR_SAVE	Salva	
-4073868144415010670	PROFILE_EDIT_AVATAR	Modifica Mii	
-1073428221599870577	ANDROID_NOTIFICATION_CHANNEL_MISC_NAME	Notifiche generali	
1748382193634037488	ANDROID_NOTIFICATION_CHANNEL_FOREGROUND_SERVICE_NOTICE_NAME	Indicatore di attività in background	
7542407414704785207	STEP_GOAL_SETTING_TITLE	Obiettivo passi giornaliero	
7344663856936297301	STEP_GOAL_SETTING_SAVE	Salva	
4555843675269974445	STEP_GOAL_SETTING_STEPS	PASSI	
-8148623245113534862	ANDROID_BACKGROUND_FLOWER_PLANTING_NOTICE	Piantando fiori in background...	
8478663699835812148	IOS_PERMISSION_DESCRIPTION_LOCATION	I dati relativi alla posizione sanno usati nel gioco e per gli appunti del diario.	
-997908806527138635	IOS_PERMISSION_DESCRIPTION_CAMERA	L'autorizzazione per la fotocamera è necessaria per vedere i Pikmin in modalità AR.	
-2100090588963911766	IOS_PERMISSION_DESCRIPTION_MICROPHONE	L'autorizzazione per il microfono è necessaria per girare i video cartolina.	
6079854039552322233	IOS_PERMISSION_DESCRIPTION_HEALTH_DATA	I dati relativi alla salute saranno usati per contare i tuoi passi e far crescere i tuoi Pikmin.	
-9018151651794566264	IOS_PERMISSION_DESCRIPTION_MOTION	I dati relativi al movimento saranno usati per contare i tuoi passi e per far crescere i tuoi Pikmin.	
-6261744157366888903	LOGIN_FAILED_ERROR	Si è verificato un errore durante l'accesso al tuo account.	
1028646514345867695	BOOT_WAITING_FOR_GPS	Ricerca di GPS in corso...	
-1662518649216984564	LOGIN_PROVIDER_SELECTOR_TITLE	ACCEDI CON...	
-4388956638068283749	WILL_BE_IMPLEMENTED	Questa funzione è ancora in lavorazione!	
5879445865021975783	SETTINGS_LINKED_ACCOUNTS	Account collegati	
-6333612795366935753	SETTINGS_ACCOUNT_LINK_SUCCEES	Il collegamento con %s è riuscito!	
55522863653632058	SETTINGS_ACCOUNT_UNLINK_SUCCESS	Hai scollegato %s correttamente.	
8180359803459330689	SETTINGS_ACCOUNT_LINK_UNLINK_FAILURE_GENERIC	Si è verificato un errore durante l'aggiornamento dei collegamenti degli account.	
7267391751009566460	SETTINGS_ACCOUNT_LINK_FAILURE_ALREADY_TAKEN	L'account selezionato è già collegato con un altro account.	
-1324195448718706828	SETTINGS_ACCOUNT_UNLINK_FAILURE_LOGGED_IN	L'account %s non può essere scollegato perché è quello con cui hai effettuato l'accesso.	
-1968068923868099167	SETTINGS_LOGOUT	Esci	
-8715143101969407276	WEATHER_NOTIFICATION_CLEAR	Il cielo è terso! È il tempo migliore per andare a esplorare!	
6937937990013458998	WEATHER_NOTIFICATION_FOG	C'è un po' di nebbia al momento.	
404203922902781716	WEATHER_NOTIFICATION_OVERCAST	È un po' nuvoloso al momento.	
-611655422625407651	WEATHER_NOTIFICATION_PARTLY_COUDY	È un po' nuvoloso. Vedi qualche bella nuvola in cielo?	
5031378447320499462	WEATHER_NOTIFICATION_RAINY	Che tempo piovoso! Non dimenticare l'ombrello.	
8905609917997084889	WEATHER_NOTIFICATION_SNOW	Sta nevicando! Com'è emozionante!	
-5891879410958889954	WEATHER_NOTIFICATION_WINDY	C'è vento! Sii prudente.	
-221813980475598846	WEATHER_NOTIFICATION_DEFAULT	Passa una bella giornata!	
1188361151623599432	WEATHER_NOTIFICATION_TITLE	Buongiorno, %s!	
7620429162201794753	SEND_FRIEND_REQUEST_ERROR_ALREADY_FRIENDS	Tu e %s siete già amici.	
-1822765931251632942	SEND_FRIEND_REQUEST_ERROR_YOURSELF	Non puoi inviarti una richiesta di amicizia.	
-2513654578845316783	SEND_FRIEND_REQUEST_ERROR_ALREADY_RECEIVED	Hai già ricevuto una richiesta di amicizia da parte di %s.	
-1156603130781149294	SEND_FRIEND_REQUEST_ERROR_ALREADY_SENT	Hai già inviato una richiesta di amicizia a %s.	
6976257906861713511	SEND_FRIEND_REQUEST_ERROR_GENERIC	Impossibile inviare una richiesta di amicizia a %s.	
-7757055545489628880	ACTION_DELETE	Elimina	
-4971600219704873339	PIKMIN_FOOD_1_NAME	Cibo giornaliero dei Pikmin	
5883789488897156506	APP_NAME	PikminApp	
5611879508739036474	ADD_MEMBER_NOTIFICATION_BODY	%s ti ha aggiunto alla chat.	
-3117578319555381206	TERMS_OF_SERVICE_DIALOG_MESSAGE	Leggi attentamente i termini di servizio e accettali per continuare.	
7322728733818517478	TERMS_OF_SERVICE_DIALOG_ACCEPT	ACCETTA	
