# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
-4691088522159476790	LIFELOG_STEPS_SUFFIX	paso	pasos
-843760519162212112	ACTION_OK	Aceptar	
8485757493794925261	ACTION_CANCEL	Cancelar	
1887912674991085417	SETTINGS_TITLE	Ajustes	
-5895459861510431520	SETTINGS_NICKNAME	Nombre de usuario	
-4232602392541329747	SHOP_BUTTON	Tienda	
-1276349162775328464	FLOWER_PLANTING_START_CONFIRMATION	¿Quieres plantar flores a tu alrededor?	
2393850012421393251	FLOWER_PLANTING_STOP_CONFIRMATION	¿Quieres dejar de plantar flores?	
-806278199259073555	FLOWER_PLANTING_FINISHED	¡Ha terminado la siembra!	
4752883491115650407	FLOWER_PLANTING_START	Empezar	
-3756020214398490248	FLOWER_PLANTING_STOP	Parar	
8657144769817644546	START_SCREEN_STEPS_SUFFIX	paso	pasos
-5739613410102627532	SEED_1_NAME	Plántula roja	
-749140861536688064	SEED_3_NAME	Gran plántula	
3824449129596672673	SEED_4_NAME	Plántula dorada	
8346726224409759480	SEED_5_NAME	Plántula azul	
-8664268734149848348	SEED_6_NAME	Plántula amarilla	
6535486909850280477	SEED_7_NAME	Plántula blanca	
3278519453534675295	SEED_8_NAME	Plántula morada	
39250091635547891	SEED_9_NAME	Plántula gris	
3840861126252085150	SEED_10_NAME	Plántula rosa	
-5805314665824740601	FLOWER_PLANTING_FINISHED_PUSH_TITLE	PikminApp	
-8702833197454164005	BOOT_ERROR_RETRY_ACTION	Volver a intentarlo	
-7006993197821614531	BOOT_ERROR_SERVER_UNREACHABLE_TITLE	No se ha podido conectar con el servidor.	
-6934986790882215623	BOOT_ERROR_UNKNOWN_DESCRIPTION	Comprueba tu conexión a la red.	
-2348885925547706723	STATUS_POPUP_ERROR	Error	
4407614562937896451	STATUS_POPUP_NETWORK_ERROR	Problema de la red	
-3476498755781314161	RELEASE_PIKMIN	Dejar libres a %d	
2429108968833458839	LIFELOG_DIARY_SAVE	Guardar	
9166744434368775528	LIFELOG_FLOWER_COUNT_SUFFIX	flor (㎡)	flores (㎡)
6430790157325690617	DURATION_DAYS	%d d	
-4358946633994413085	DURATION_HOURS	%d h	
5090786224208365218	DURATION_MINUTES	%d min	
-4781863217097845354	DURATION_SECONDS	%d s	
-9075047459596506242	ACTION_DONE	Hecho	
149250004464972476	PROFILE_TOTAL_DISTANCE_WALKED	Distancia total recorrida	
-4408277784991289698	PROFILE_TOTAL_STEPS	Pasos totales:	%s pasos en total
-2587145075203409785	AVATAR_EDITOR_SAVE	Guardar	
-4073868144415010670	PROFILE_EDIT_AVATAR	Editor de Mii	
7344663856936297301	STEP_GOAL_SETTING_SAVE	Guardar	
4555843675269974445	STEP_GOAL_SETTING_STEPS	Pasos	
-8148623245113534862	ANDROID_BACKGROUND_FLOWER_PLANTING_NOTICE	Se están plantando flores en segundo plano...	
8478663699835812148	IOS_PERMISSION_DESCRIPTION_LOCATION	Los datos de ubicación se utilizan durante el juego y para los registros del diario.	
