# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
8777369050861064539	PLANTER_1_NAME	PLANTER_1_NAME:DEPRECATED	
-1112053924766362592	PLANTER_2_NAME	PLANTER_2_NAME:DEPRECATED	
-6233535529314237238	PLANTER_3_NAME	PLANTER_3_NAME:DEPRECATED	
-4691088522159476790	LIFELOG_STEPS_SUFFIX	Schritt	Schritte
-843760519162212112	ACTION_OK	OK	
8485757493794925261	ACTION_CANCEL	Abbrechen	
1887912674991085417	SETTINGS_TITLE	Einstellungen	
-5895459861510431520	SETTINGS_NICKNAME	Nutzername	
-4232602392541329747	SHOP_BUTTON	Shop	
-1276349162775328464	FLOWER_PLANTING_START_CONFIRMATION	Möchtest du mit dem Pflanzen von Blumen beginnen?	
2393850012421393251	FLOWER_PLANTING_STOP_CONFIRMATION	Möchtest du das Pflanzen von Blumen beenden?	
-806278199259073555	FLOWER_PLANTING_FINISHED	Das Pflanzen wurde beendet!	
4752883491115650407	FLOWER_PLANTING_START	Beginnen	
-3756020214398490248	FLOWER_PLANTING_STOP	Beenden	
8657144769817644546	START_SCREEN_STEPS_SUFFIX	Schritt	Schritte
-5739613410102627532	SEED_1_NAME	roter Keim	rote Keime
-5586080344720773195	SEED_2_NAME	Wald-Keim	
-749140861536688064	SEED_3_NAME	Riesenkeim	Riesenkeime
3824449129596672673	SEED_4_NAME	Goldkeim	Goldkeime
8346726224409759480	SEED_5_NAME	blauer Keim	blaue Keime
-8664268734149848348	SEED_6_NAME	gelber Keim	gelbe Keime
6535486909850280477	SEED_7_NAME	weißer Keim	weiße Keime
3278519453534675295	SEED_8_NAME	lila Keim	lila Keime
39250091635547891	SEED_9_NAME	Felskeim	Felskeime
3840861126252085150	SEED_10_NAME	Flügelkeim	Flügelkeime
7457746253201982729	SEED_11_NAME	Feiner lila Keim	
-218077776679422519	SEED_12_NAME	Seltener roter Keim	
6992028916918964606	SEED_13_NAME	Seltener blauer Keim	
8874970018999795371	SEED_14_NAME	Seltener gelber Keim	
8696980883235120747	SEED_15_NAME	Seltener lila Keim	
-5805314665824740601	FLOWER_PLANTING_FINISHED_PUSH_TITLE	PikminApp	
-8702833197454164005	BOOT_ERROR_RETRY_ACTION	Erneut	
-7006993197821614531	BOOT_ERROR_SERVER_UNREACHABLE_TITLE	Es konnte keine Verbindung zum Server hergestellt werden.	
-6934986790882215623	BOOT_ERROR_UNKNOWN_DESCRIPTION	Bitte überprüfe die Verbindung zu deinem Netzwerk.	
-2348885925547706723	STATUS_POPUP_ERROR	Fehler	
4407614562937896451	STATUS_POPUP_NETWORK_ERROR	Verbindungsfehler	
-3476498755781314161	RELEASE_PIKMIN	%d Pikmin freilassen	
2429108968833458839	LIFELOG_DIARY_SAVE	Speichern	
9166744434368775528	LIFELOG_FLOWER_COUNT_SUFFIX	Blumen (m²)	Blumen (m²)
6430790157325690617	DURATION_DAYS	%d Tag	%d Tage
-4358946633994413085	DURATION_HOURS	%d Stunde	%d Stunden
5090786224208365218	DURATION_MINUTES	%d Minute	%d Minuten
-4781863217097845354	DURATION_SECONDS	%d Sekunde	%d Sekunden
-9075047459596506242	ACTION_DONE	Fertig	
149250004464972476	PROFILE_TOTAL_DISTANCE_WALKED	Gelaufene Gesamtstrecke	
