# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
5983928674159442406	NewText	NewText:DEPRECATED	
6811159547063847111	EXAMPLE_MESSAGE	EXAMPLE_MESSAGE:DEPRECATED	EXAMPLE_MESSAGE:DEPRECATED
-3826566646698570683	DAILY_STEPS_EXCELLENT	DAILY_STEPS_EXCELLENT:DEPRECATED	
-874087589197136758	DAILY_STEPS_NICE	DAILY_STEPS_NICE:DEPRECATED	
8715934103873692157	DAILY_STEPS_NORMAL	DAILY_STEPS_NORMAL:DEPRECATED	
1878752700608774671	DAILY_NUM_STEPS	DAILY_NUM_STEPS:DEPRECATED	DAILY_NUM_STEPS:DEPRECATED
-9093546932079336119	DAILY_NUM_BLOOMS	DAILY_NUM_BLOOMS:DEPRECATED	DAILY_NUM_BLOOMS:DEPRECATED
-4622846571898276141	DAILY_NUM_FRUITS_COLLECTED	DAILY_NUM_FRUITS_COLLECTED:DEPRECATED	DAILY_NUM_FRUITS_COLLECTED:DEPRECATED
-5945666479150532268	PICTURE_BOOK_PIKMIN_SECTION_TITLE	PICTURE_BOOK_PIKMIN_SECTION_TITLE:DEPRECATED	
-8975528484055396648	PICTURE_BOOK_FLOWER_SECTION_TITLE	PICTURE_BOOK_FLOWER_SECTION_TITLE:DEPRECATED	
8003115098114815413	POSTCARD_LIKED_PUSH_TITLE	POSTCARD_LIKED_PUSH_TITLE:DEPRECATED	
-5946199241994943419	POSTCARD_LIKED_PUSH_BODY	POSTCARD_LIKED_PUSH_BODY:DEPRECATED	
8777369050861064539	PLANTER_1_NAME	PLANTER_1_NAME:DEPRECATED	
-1112053924766362592	PLANTER_2_NAME	PLANTER_2_NAME:DEPRECATED	
-6233535529314237238	PLANTER_3_NAME	PLANTER_3_NAME:DEPRECATED	
-7303849707659999024	PLANTER_4_NAME	PLANTER_4_NAME:DEPRECATED	
4059948497250413262	POSTCARD_ALBUM_INVENTORY_SECTION_TITLE	POSTCARD_ALBUM_INVENTORY_SECTION_TITLE:DEPRECATED	
-7704200264818412264	POSTCARD_ALBUM_CREATED_SECTION_TITLE	POSTCARD_ALBUM_CREATED_SECTION_TITLE:DEPRECATED	
-7805424000054320691	PLANTER_SHOP_OUT_OF_STOCK	PLANTER_SHOP_OUT_OF_STOCK:DEPRECATED	
2120092748961355784	LIFELOG_TODAY	Today	
-4240370593035057961	LIFELOG_YESTERDAY	Yesterday	
-4691088522159476790	LIFELOG_STEPS_SUFFIX	step	steps
5022853512645265891	LOREM_IPSUM	LOREM_IPSUM:DEPRECATED	
