# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
-4691088522159476790	LIFELOG_STEPS_SUFFIX	步數	
-843760519162212112	ACTION_OK	OK	
8485757493794925261	ACTION_CANCEL	取消	
1887912674991085417	SETTINGS_TITLE	設定	
-5895459861510431520	SETTINGS_NICKNAME	用戶名	
-4232602392541329747	SHOP_BUTTON	商店	
-1276349162775328464	FLOWER_PLANTING_START_CONFIRMATION	要開始種花嗎？	
2393850012421393251	FLOWER_PLANTING_STOP_CONFIRMATION	要結束種花嗎？	
-806278199259073555	FLOWER_PLANTING_FINISHED	種花 結束！	
4752883491115650407	FLOWER_PLANTING_START	開始	
-3756020214398490248	FLOWER_PLANTING_STOP	結束	
8657144769817644546	START_SCREEN_STEPS_SUFFIX	步	
-5739613410102627532	SEED_1_NAME	紅色花苗	
-749140861536688064	SEED_3_NAME	大花苗	
3824449129596672673	SEED_4_NAME	金色花苗	
8346726224409759480	SEED_5_NAME	藍色花苗	
-8664268734149848348	SEED_6_NAME	黃色花苗	
6535486909850280477	SEED_7_NAME	白色花苗	
3278519453534675295	SEED_8_NAME	紫色花苗	
39250091635547891	SEED_9_NAME	灰色花苗	
3840861126252085150	SEED_10_NAME	粉紅色花苗	
-5805314665824740601	FLOWER_PLANTING_FINISHED_PUSH_TITLE	PikminApp	
-8702833197454164005	BOOT_ERROR_RETRY_ACTION	再嘗試	
-7006993197821614531	BOOT_ERROR_SERVER_UNREACHABLE_TITLE	無法連接到伺服器。	
-6934986790882215623	BOOT_ERROR_UNKNOWN_DESCRIPTION	請確認網路狀態。	
-2348885925547706723	STATUS_POPUP_ERROR	錯誤	
4407614562937896451	STATUS_POPUP_NETWORK_ERROR	網路錯誤	
-3476498755781314161	RELEASE_PIKMIN	%d　回到野外	
2429108968833458839	LIFELOG_DIARY_SAVE	儲存	
9166744434368775528	LIFELOG_FLOWER_COUNT_SUFFIX	已種植的花	
6430790157325690617	DURATION_DAYS	%d 日	
-4358946633994413085	DURATION_HOURS	%d 小時	
5090786224208365218	DURATION_MINUTES	%d 分	
-4781863217097845354	DURATION_SECONDS	%d 秒	
-9075047459596506242	ACTION_DONE	完成	
149250004464972476	PROFILE_TOTAL_DISTANCE_WALKED	走過的總距離	
-4408277784991289698	PROFILE_TOTAL_STEPS	合計步數︰	
-2587145075203409785	AVATAR_EDITOR_SAVE	儲存	
-4073868144415010670	PROFILE_EDIT_AVATAR	編輯Mii	
7344663856936297301	STEP_GOAL_SETTING_SAVE	儲存	
4555843675269974445	STEP_GOAL_SETTING_STEPS	步	
-8148623245113534862	ANDROID_BACKGROUND_FLOWER_PLANTING_NOTICE	正在背景執行時種花。	
8478663699835812148	IOS_PERMISSION_DESCRIPTION_LOCATION	允許後可使用位置資訊來遊玩，或留下生活記錄。	
-997908806527138635	IOS_PERMISSION_DESCRIPTION_CAMERA	允許後可以使用相機拍攝照片，或是留下生活記錄的照片。	
-2100090588963911766	IOS_PERMISSION_DESCRIPTION_MICROPHONE	允許後可拍攝影片。	
6079854039552322233	IOS_PERMISSION_DESCRIPTION_HEALTH_DATA	允許後可使用健康資料來測量步數。	
-9018151651794566264	IOS_PERMISSION_DESCRIPTION_MOTION	將使用資料來測量步數或裝置的動作。	
-6261744157366888903	LOGIN_FAILED_ERROR	無法登入此帳號。	
1028646514345867695	BOOT_WAITING_FOR_GPS	正在尋找GPS位置資訊……	
-1662518649216984564	LOGIN_PROVIDER_SELECTOR_TITLE	帳號	
-4388956638068283749	WILL_BE_IMPLEMENTED	此功能將於下一個版本之後實裝。	
5879445865021975783	SETTINGS_LINKED_ACCOUNTS	已連結的帳號	
-6333612795366935753	SETTINGS_ACCOUNT_LINK_SUCCEES	跟%s帳號連結了！	
55522863653632058	SETTINGS_ACCOUNT_UNLINK_SUCCESS	已解除跟%s帳號的連結。	
8180359803459330689	SETTINGS_ACCOUNT_LINK_UNLINK_FAILURE_GENERIC	無法設定連結。	
7267391751009566460	SETTINGS_ACCOUNT_LINK_FAILURE_ALREADY_TAKEN	選擇的帳號已跟其他帳號連結。	
-1324195448718706828	SETTINGS_ACCOUNT_UNLINK_FAILURE_LOGGED_IN	由於目前正在使用此%s帳號，無法解除連結。	
-1968068923868099167	SETTINGS_LOGOUT	登出	
-8715143101969407276	WEATHER_NOTIFICATION_CLEAR	今天天氣很好！很適合出門呢。	
6937937990013458998	WEATHER_NOTIFICATION_FOG	今天好像有點霧，要小心喔。	
404203922902781716	WEATHER_NOTIFICATION_OVERCAST	看來今天會有大霧呢。	
-611655422625407651	WEATHER_NOTIFICATION_PARTLY_COUDY	今天有點霧喔。	
5031378447320499462	WEATHER_NOTIFICATION_RAINY	今天會下雨！不要忘記帶傘囉。	
8905609917997084889	WEATHER_NOTIFICATION_SNOW	今天會下雪！要小心不要感冒了。	
-5891879410958889954	WEATHER_NOTIFICATION_WINDY	看來今天風很大呢。出門要小心喔。	
-221813980475598846	WEATHER_NOTIFICATION_DEFAULT	祝您有愉快的一天！	
1188361151623599432	WEATHER_NOTIFICATION_TITLE	早安，%s！	
-7757055545489628880	ACTION_DELETE	刪除	
5883789488897156506	APP_NAME	PikminApp	
-3117578319555381206	TERMS_OF_SERVICE_DIALOG_MESSAGE	請確認並同意服務使用條款。	
7322728733818517478	TERMS_OF_SERVICE_DIALOG_ACCEPT	同意	
-2660547823152141402	TERMS_OF_SERVICE_DIALOG_DECLINE	不同意	
-6568235819685962592	ALLOW_EMAIL_MARKETING_TOGGLE_LABEL	接收新聞或推廣相關的資訊	
-6172635984702376120	TERMS_OF_SERVICE_DIALOG_OPEN_TERMS_LINK	打開使用條款	
-5445650799540961147	DATE_FORMAT_MONTH_DAY_AND_DAY_OF_WEEK	M月d日 dddd	
-3775664667633849234	PUSH_NOTIFICATIONS	遊戲內通知	
1248583376533854016	SPLASH_SCREEN_SAFETY_WARNING	遊玩時請小心注意四周。	
581860577812249057	GAME_LAUNCH_SAFETY_WARNING_DRIVING	遊玩%s時請不要駕駛。	
1555074583693089615	GAME_LAUNCH_SAFETY_WARNING_AREA	遊玩%s時請不要前往危險的地點。	
1082333753873264671	GAME_LAUNCH_SAFETY_WARNING_TRESPASSING	遊玩%s時請注意不要前往禁止進入的地點。	
3377657511821188588	ACTION_RESET	重置	
6624694901941135837	FOUND_INAPPROPRIATE_CONTENT	已確認到不正當的內容。	
2236356790953195985	PIKMIN_VARIATION_DEFAULT_00_RED_NAME	紅色皮克敏	
-2678322547110102003	PIKMIN_VARIATION_DEFAULT_00_BLUE_NAME	藍色皮克敏	
-6998053115709626829	PIKMIN_VARIATION_DEFAULT_00_YELLOW_NAME	黃色皮克敏	
2599068237170038287	PIKMIN_VARIATION_DEFAULT_00_PURPLE_NAME	紫色皮克敏	
-8570594375237673586	PIKMIN_VARIATION_DEFAULT_00_WHITE_NAME	白色皮克敏	
3266018604787068704	PIKMIN_VARIATION_DEFAULT_00_BLACK_NAME	岩石皮克敏	
3238595824098592615	PIKMIN_VARIATION_DEFAULT_00_PINK_NAME	羽翅皮克敏	
-4147476467827904626	PIKMIN_VARIATION_RESTAURANT_00_RED_NAME	餐廳	
3693552705278708598	PIKMIN_VARIATION_RESTAURANT_00_BLUE_NAME	餐廳	
-6108574688557038395	PIKMIN_VARIATION_RESTAURANT_00_YELLOW_NAME	餐廳	
-1587174336286107492	PIKMIN_VARIATION_RESTAURANT_00_PURPLE_NAME	餐廳	
7507371378762516258	PIKMIN_VARIATION_RESTAURANT_00_WHITE_NAME	餐廳	
3174190042935722094	PIKMIN_VARIATION_RESTAURANT_00_BLACK_NAME	餐廳	
2789863542172802881	PIKMIN_VARIATION_RESTAURANT_00_PINK_NAME	餐廳	
-1943830040655116630	PIKMIN_VARIATION_CAFE_00_RED_NAME	咖啡店	
-1257874312405417767	PIKMIN_VARIATION_CAFE_00_BLUE_NAME	咖啡店	
5933423304695998869	PIKMIN_VARIATION_CAFE_00_YELLOW_NAME	咖啡店	
5094415097781378365	PIKMIN_VARIATION_CAFE_00_PURPLE_NAME	咖啡店	
3597718648362075794	PIKMIN_VARIATION_CAFE_00_WHITE_NAME	咖啡店	
7229929419427265612	PIKMIN_VARIATION_CAFE_00_BLACK_NAME	咖啡店	
4337069604150754226	PIKMIN_VARIATION_CAFE_00_PINK_NAME	咖啡店	
-3711384107438757466	PIKMIN_VARIATION_DESSERT_00_RED_NAME	甜點店	
8615140954850682338	PIKMIN_VARIATION_DESSERT_00_BLUE_NAME	甜點店	
3289161923403233326	PIKMIN_VARIATION_DESSERT_00_YELLOW_NAME	甜點店	
-1523909656856704797	PIKMIN_VARIATION_DESSERT_00_PURPLE_NAME	甜點店	
-7626169675247658581	PIKMIN_VARIATION_DESSERT_00_WHITE_NAME	甜點店	
5580148006466333146	PIKMIN_VARIATION_DESSERT_00_BLACK_NAME	甜點店	
-4038673856072698958	PIKMIN_VARIATION_DESSERT_00_PINK_NAME	甜點店	
2413811179628998048	PIKMIN_VARIATION_CINEMA_00_RED_NAME	電影院	
-1129303964932035776	PIKMIN_VARIATION_CINEMA_00_BLUE_NAME	電影院	
-6533987938391081247	PIKMIN_VARIATION_CINEMA_00_YELLOW_NAME	電影院	
-2663836112637766233	PIKMIN_VARIATION_CINEMA_00_PURPLE_NAME	電影院	
-884918334428715241	PIKMIN_VARIATION_CINEMA_00_WHITE_NAME	電影院	
-7206417450183008342	PIKMIN_VARIATION_CINEMA_00_BLACK_NAME	電影院	
4634547028248857302	PIKMIN_VARIATION_CINEMA_00_PINK_NAME	電影院	
1472684997531019609	PIKMIN_VARIATION_PHARMACY_00_RED_NAME	藥局	
1043428337809554220	PIKMIN_VARIATION_PHARMACY_00_BLUE_NAME	藥局	
3960420862203992815	PIKMIN_VARIATION_PHARMACY_00_YELLOW_NAME	藥局	
-6782647803493897250	PIKMIN_VARIATION_PHARMACY_00_PURPLE_NAME	藥局	
-7031658757493377285	PIKMIN_VARIATION_PHARMACY_00_WHITE_NAME	藥局	
1959655099470066957	PIKMIN_VARIATION_PHARMACY_00_BLACK_NAME	藥局	
8458151151866305466	PIKMIN_VARIATION_PHARMACY_00_PINK_NAME	藥局	
4816975257372556963	PIKMIN_VARIATION_ZOO_00_RED_NAME	動物園	
