# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
8777369050861064539	PLANTER_1_NAME	PLANTER_1_NAME:DEPRECATED	
-1112053924766362592	PLANTER_2_NAME	PLANTER_2_NAME:DEPRECATED	
-6233535529314237238	PLANTER_3_NAME	PLANTER_3_NAME:DEPRECATED	
-4691088522159476790	LIFELOG_STEPS_SUFFIX	passo	
-843760519162212112	ACTION_OK	OK	
8485757493794925261	ACTION_CANCEL	Annulla	
1887912674991085417	SETTINGS_TITLE	Impostazioni	
-5895459861510431520	SETTINGS_NICKNAME	Nome utente	
-4232602392541329747	SHOP_BUTTON	Negozio	
-1276349162775328464	FLOWER_PLANTING_START_CONFIRMATION	Vuoi iniziare a piantare fiori intorno a te?	
2393850012421393251	FLOWER_PLANTING_STOP_CONFIRMATION	Vuoi smettere di piantare fiori?	
-806278199259073555	FLOWER_PLANTING_FINISHED	Finito di piantare fiori!	
4752883491115650407	FLOWER_PLANTING_START	Inizia	
-3756020214398490248	FLOWER_PLANTING_STOP	Interrompi	
8657144769817644546	START_SCREEN_STEPS_SUFFIX	passo	
-5739613410102627532	SEED_1_NAME	Piantina rossa	
-5586080344720773195	SEED_2_NAME	Gettone foresta	
-749140861536688064	SEED_3_NAME	Piantina enorme	
3824449129596672673	SEED_4_NAME	Piantina dorata	
8346726224409759480	SEED_5_NAME	Piantina blu	
-8664268734149848348	SEED_6_NAME	Piantina gialla	
6535486909850280477	SEED_7_NAME	Piantina bianca	
3278519453534675295	SEED_8_NAME	Piantina viola	
39250091635547891	SEED_9_NAME	Piantina grigia	
3840861126252085150	SEED_10_NAME	Piantina rosa	
7457746253201982729	SEED_11_NAME	Seme viola insolito	
-218077776679422519	SEED_12_NAME	Seme rosso raro	
6992028916918964606	SEED_13_NAME	Seme blu raro	
8874970018999795371	SEED_14_NAME	Seme giallo raro	
8696980883235120747	SEED_15_NAME	Seme viola raro	
-5805314665824740601	FLOWER_PLANTING_FINISHED_PUSH_TITLE	PikminApp	
-8702833197454164005	BOOT_ERROR_RETRY_ACTION	Riprova	
-7006993197821614531	BOOT_ERROR_SERVER_UNREACHABLE_TITLE	Impossibile collegarsi al server.	
-6934986790882215623	BOOT_ERROR_UNKNOWN_DESCRIPTION	Controlla la tua connessione di rete.	
-2348885925547706723	STATUS_POPUP_ERROR	Errore	
4407614562937896451	STATUS_POPUP_NETWORK_ERROR	Errore di rete	
-3476498755781314161	RELEASE_PIKMIN	Lascia andare: %d	
2429108968833458839	LIFELOG_DIARY_SAVE	Salva	
9166744434368775528	LIFELOG_FLOWER_COUNT_SUFFIX	fiore	
6430790157325690617	DURATION_DAYS	%d giorno	%d giorni
-4358946633994413085	DURATION_HOURS	%d ora	%d ore
5090786224208365218	DURATION_MINUTES	%d minuto	%d minuti
-4781863217097845354	DURATION_SECONDS	%d secondo	%d secondi
-9075047459596506242	ACTION_DONE	Fatto	
149250004464972476	PROFILE_TOTAL_DISTANCE_WALKED	Distanza totale percorsa	
-4408277784991289698	PROFILE_TOTAL_STEPS	Passi totali:	%s passi totali
-2587145075203409785	AVATAR_EDITOR_SAVE	Salva	
-4073868144415010670	PROFILE_EDIT_AVATAR	Modifica Mii	
-1073428221599870577	ANDROID_NOTIFICATION_CHANNEL_MISC_NAME	Notifiche generali	
