# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
-8875522950851852056	TUTORIAL_FLOWER_PLANTING_THREE_1	L'énorme fleur que vous pouvez voir en vue de balade est ce qu'on appelle une mégafleur.	
2687525818136085358	TUTORIAL_FLOWER_PLANTING_THREE_2	Les Pikmin peuvent l'aider à grandir encore davantage en plantant des fleurs autour d'elle. Peut-être qu'elle produira du nectar en fleurissant ?	
8733361978827257363	TUTORIAL_FLOWER_PLANTING_THREE_3	Il semblerait que la taille des mégafleurs varie selon le type de fleurs qui les entourent. Essayez de planter des variétés différentes pour voir ce que ça donne !	
549588186808670323	TUTORIAL_COLOR_NECTAR_1	Vous avez obtenu un nouveau nectar !	
7979686774634336777	TUTORIAL_COLOR_NECTAR_2	Il semblerait que la couleur et le type de fleur qui pousse sur la tête des Pikmin change en fonction du nectar qu'ils consomment.	
-6597618797743458634	TUTORIAL_COLOR_NECTAR_3	Pour changer de type de nectar, touchez la goutte. Essayez de donner différents types de nectar à vos Pikmin et observez le résultat.	
-5598583140971521452	STEP_STATS_TITLE	Mes pas	
7358050392388796140	STEP_STATS_AVERAGE_STEPS_WEEK	Moyenne de pas cette semaine :	
-706248166202183863	STEP_STATS_LIFETIME_TOTAL_STEPS	Total de pas enregistrés :	
3765462814872576723	DOWSER_NAME	Détecteur	
-119174417584230429	DOWSER_DESCRIPTION	Vous pouvez utiliser le détecteur pour chercher des objets à proximité.	
-2379876904252348065	DOWSER_RECHARGE_LABEL	Charge rapide	
1004643768288724463	DOWSER_FOUND_ITEMS	Vous avez trouvé {0} objet !	Vous avez trouvé {0} objets !
7499243691010989867	DOWSER_NEXT_AVAILABLE	Utilisable dans : {0}	
7385503932590013787	BADGE_TYPE_NAME_BREEDER	Badge Pikmin	
7631907132250824382	BADGE_TYPE_NAME_FLOWER	Badge Fleurs	
-7947182485618978017	BADGE_TYPE_NAME_EXPEDITION	Badge Expédition	
883712973248936916	BADGE_TYPE_NAME_DECO	Badge Pikmin déco	
4219317091569690286	FRUIT_STRAWBERRY	Fraise	
3217371781540247723	FRUIT_CHERRY	Cerise	
-6121573226712432207	FRUIT_LEMON	Citron	
2044205892866517652	FRUIT_BLUEBERRY	Myrtille	
1741252702655102733	FRUIT_GOLDEN_CHERRY	Cerise dorée	
3009457810836868005	FRUIT_PEACH	Pêche	
3438552328154829955	FRUIT_WATERMELON	Pastèque	
617074706313707777	FRUIT_LIME	Citron vert	
-7794896447626117388	FRUIT_GREEN_APPLE	Pomme verte	
-1307539360720182878	FRUIT_KUMQUAT	Kumquat	
8196396509726455323	FRUIT_PRUNE	Pruneau	
-8815932292541859464	FRUIT_HAPPY_FRUIT	Fruit de joie	
-7986555579487709332	FRUIT_MELON	Melon	
8603661383206038938	FRUIT_GRAPEFRUIT	Pamplemousse	
7481538119977510267	FRUIT_APPLE	Pomme	
-698999894567824864	FRUIT_MUSCAT_GRAPE	Raisin blanc	
6918826491440731662	FRUIT_KIWI	Kiwi	
-4683987280139857304	FRUIT_MUSCAT	Raisin muscat	
-3582153562752909535	FRUIT_ORANGE	Orange	
-1196190810861900123	FRUIT_BANANA	Banane	
-6133133785828178334	FRUIT_GRAPES	Raisin	
-4413378440676408821	EXTRACT_BALL_RED	Nectar rouge	
7896283943514538569	EXTRACT_BALL_BLUE	Nectar bleu	
-6698604302225874923	EXTRACT_BALL_YELLOW	Nectar jaune	
8519478008843568330	EXTRACT_BALL_WHITE	Nectar	
6767237653239513488	EXTRACT_BALL_HAPPY	Nectar spécial	
-6742894351647471327	EXTRACT_BALL_RED_PANSY	Nectar de pensée rouge	
6569575187769431271	EXTRACT_BALL_BLUE_PANSY	Nectar de pensée bleue	
4082833117957863254	EXTRACT_BALL_YELLOW_PANSY	Nectar de pensée jaune	
6165321942839832604	EXTRACT_BALL_WHITE_PANSY	Nectar de pensée blanche	
-5062597680482006118	EXTRACT_BALL_RED_ROSE	Nectar de rose rouge	
6752642644991942349	EXTRACT_BALL_BLUE_ROSE	Nectar de rose bleue	
-3389239345311305351	EXTRACT_BALL_YELLOW_ROSE	Nectar de rose jaune	
6628380500006367188	EXTRACT_BALL_WHITE_ROSE	Nectar de rose blanche	
-7182845720284722284	EXTRACT_BALL_EXPLANATION_HAPPY	Un nectar spécial qui réjouira vos Pikmin et leur donnera envie d'interagir davantage avec vous.	
-6828977911562531309	EXTRACT_BALL_EXPLANATION_WHITE_COMMON	Un nectar qui fera éclore une fleur blanche sur la tête de vos Pikmin.	
3945860128201651686	EXTRACT_BALL_EXPLANATION_RED_COMMON	Un nectar qui fera éclore une fleur rouge sur la tête de vos Pikmin.	
-6155776729258370752	EXTRACT_BALL_EXPLANATION_BLUE_COMMON	Un nectar qui fera éclore une fleur bleue sur la tête de vos Pikmin.	
489576356614907656	EXTRACT_BALL_EXPLANATION_YELLOW_COMMON	Un nectar qui fera éclore une fleur jaune sur la tête de vos Pikmin.	
3451689909103242443	EXTRACT_BALL_EXPLANATION_RED_PANSY	Un nectar rare qui fera éclore une pensée rouge sur la tête de vos Pikmin.	
