# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
6114122300227207603	NewText2	Hello plurals	
-8875522950851852056	TUTORIAL_FLOWER_PLANTING_THREE_1	산책 뷰에서 볼 수 있는 이 커다란 식물은 「빅 플라워」라고 합니다.	
2687525818136085358	TUTORIAL_FLOWER_PLANTING_THREE_2	피크민들이 주위에 꽃을 심으면 커다란 꽃을 피우는 모양이에요. 활짝 피게 되면 "멋진 것"를 얻을 수 있을지 모르겠네요.	
8733361978827257363	TUTORIAL_FLOWER_PLANTING_THREE_3	피는 빅 플라워는 정해진 것이 아니라, 심는 꽃과 관계가 있다는 소문도 있어요. 다양한 꽃을 심어 봅시다!	
549588186808670323	TUTORIAL_COLOR_NECTAR_1	새로운 정수를 획득했습니다!	
7979686774634336777	TUTORIAL_COLOR_NECTAR_2	피크민은 먹는 정수에 따라 피는 꽃의 색과 모양이 달라지는 모양이에요. 다양한 정수를 먹여 보세요.	
-6597618797743458634	TUTORIAL_COLOR_NECTAR_3	정수를 탭하면 건넬 정수를 변경할 수 있습니다.	
-3184764668860367983	TUTORIAL_ROAD_BLOCK_1	Unusual Ojama in the vicinity of the POI will appear.	
5352655594257116811	TUTORIAL_ROAD_BLOCK_2	Or tap the Ojama, and are walking near the Ojama, Ojama will be registered to use it.	
-3752668346648605848	TUTORIAL_ROAD_BLOCK_3	Let us send a Pikmin to cooperate with everyone. Petting the degree of Pikmin rises the "Happy extract" might get?	
-5146076640042198176	UPDATE_MII_QUESTION	Update to the latest Mii version?	
-9162674104295113422	LOGIN_REQUIRED_WARNING	You will sometimes be asked to login to your Nintendo account.	
-4830858386698924593	ACTION_UPDATE	Update	
-4683379352988172624	MII_WAS_UPDATED	Mii was updated to the latest version.	
-7171364068543964418	FRIEND_LIST_NO_FRIENDS_1	You have no friends.	
3406342883318333558	FRIEND_LIST_NO_FRIENDS_2	Send Friend Requests and add friends!	
1326113401552119746	FRIEND_LIST_NO_FRIENDS_ADD_FRIEND	Add a friend	
-359761701600500451	FRIEND_LIST_FRIENDS_SINCE	Friends since %s	
-7654501799290644055	FRIEND_LIST_STEPS_WALKED	Lifetime steps: %s	
1233011998258774722	FRIENDS_LABEL	Friends	
8097188312712959647	DAILY_LOOK_BACK_PHOTO_SAVE_BUTTON_MESSAGE	Save %d photos	
7704114425842268246	DAILY_LOOK_BACK_NO_PHOTO_SAVE_BUTTON_MESSAGE	Continue without saving	
1674167320864930583	DAILY_LOOK_BACK_POPUP_PHOTO_CHANGE	Change photo	
-5598583140971521452	STEP_STATS_TITLE	당신의 걸음 수	
7358050392388796140	STEP_STATS_AVERAGE_STEPS_WEEK	이번 주 평균 걸음 수	
-706248166202183863	STEP_STATS_LIFETIME_TOTAL_STEPS	지금까지의 총 걸음 수	
-2667792163754801126	POI_FLOWER_DETAILS_NEEDED_FLOWERS_TO_BLOOM_HEADER	Precondition:	
-5252558608895967709	POI_FLOWER_DETAILS_NEEDED_FLOWERS_TO_BLOOM_FIELD	%s more flowers	
-5377191567236068655	POI_FLOWER_DETAILS_FLOWER_TYPE_HEADER	Flower Name:	
7029987479437277128	POI_FLOWER_DETAILS_FLOWER_TYPE_BEFORE_BLOOM	Will be %s	
2975729686072198175	POI_FLOWER_DETAILS_FLOWER_TYPE_AFTER_BLOOM	%s	
3116658315355574075	POI_FLOWER_DETAILS_BLOOM_REMAINING_TIME_HEADER	Bloom Ends:	
-4919448629731752112	POI_FLOWER_DETAILS_BLOOM_REMAINING_TIME	in %s	
-263184506298187128	POI_FLOWER_DETAILS_REWARD_EXPEDITION_AVAILABLE	To Expedition	
6962261292319710869	POI_FLOWER_DETAILS_REWARD_EXPEDITION_IN_PROGRESS	View Progress	
-8695171300482786963	POI_FLOWER_DETAILS_CURRENT_FLOWER_STATE_HEADER	State:	
4474429268343918413	POI_FLOWER_DETAILS_FLOWER_LEVEL_1_STATE	Leaf	
