# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
7385503932590013787	BADGE_TYPE_NAME_BREEDER	Insignia de Pikmin	Insignias de Pikmin
7631907132250824382	BADGE_TYPE_NAME_FLOWER	Insignia de flor	Insignias de flor
-7947182485618978017	BADGE_TYPE_NAME_EXPEDITION	Insignia de expedición	Insignias de expedición
883712973248936916	BADGE_TYPE_NAME_DECO	Insignia de Pikmin disfrazado	Insignias de Pikmin disfrazado
-6504375686977536791	BADGE_LEVEL_REQUIREMENT_STEPS_WALKED	Da {0} paso.	Da {0} pasos.
-853791801849646856	BADGE_LEVEL_REQUIREMENT_PIKMIN_PLUCKED	Haz crecer {0} Pikmin.	
1592855946644154825	BADGE_LEVEL_REQUIREMENT_RED_PIKMIN_PLUCKED	Haz crecer {0} plántula roja.	Haz crecer {0} plántulas rojas.
54400768255874416	BADGE_LEVEL_REQUIREMENT_BLUE_PIKMIN_PLUCKED	Haz crecer {0} plántula azul.	Haz crecer {0} plántulas azules.
2648820804268124807	BADGE_LEVEL_REQUIREMENT_YELLOW_PIKMIN_PLUCKED	Haz crecer {0} plántula amarilla.	Haz crecer {0} plántulas amarillas.
-4460557066193056005	BADGE_LEVEL_REQUIREMENT_WHITE_PIKMIN_PLUCKED	Haz crecer {0} plántula blanca.	Haz crecer {0} plántulas blancas.
-1813588166269559394	BADGE_LEVEL_REQUIREMENT_PURPLE_PIKMIN_PLUCKED	Haz crecer {0} plántula morada.	Haz crecer {0} plántulas moradas.
4499723095774404017	BADGE_LEVEL_REQUIREMENT_ROCK_PIKMIN_PLUCKED	Haz crecer {0} plántula gris.	Haz crecer {0} plántulas grises.
-8831476338099991558	BADGE_LEVEL_REQUIREMENT_WINGED_PIKMIN_PLUCKED	Haz crecer {0} plántula rosa.	Haz crecer {0} plántulas rosas.
-4043542015024729320	BADGE_LEVEL_REQUIREMENT_FLOWER_PLANTED	Planta {0} flor.	Planta {0} flores.
-4686059195341413992	BADGE_LEVEL_REQUIREMENT_WHITE_FLOWER_PLANTED	Planta {0} flor blanca.	Planta {0} flores blancas.
-4764516261777127665	BADGE_LEVEL_REQUIREMENT_RED_FLOWER_PLANTED	Planta {0} flor roja.	Planta {0} flores rojas.
6976232605612222866	BADGE_LEVEL_REQUIREMENT_BLUE_FLOWER_PLANTED	Planta {0} flor azul.	Planta {0} flores azules.
9015207633469966310	BADGE_LEVEL_REQUIREMENT_YELLOW_FLOWER_PLANTED	Planta {0} flor amarilla.	Planta {0} flores amarillas.
-3395802640823326482	BADGE_LEVEL_REQUIREMENT_DECO_PIKMIN_COLLECTED	Encuentra {0} Pikmin disfrazado.	
-2470106684155612698	BADGE_LEVEL_REQUIREMENT_UNIT_STEPS_WALKED	Pasos dados: %s	Pasos dados: %s
-643058086610190253	BADGE_LEVEL_REQUIREMENT_UNIT_PIKMIN_PLUCKED	Pikmin: %s	
