# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
-3208216120833537346	RPC_NETWORK_ERROR_DIALOG_TITLE	Error de conexión	
120322519350465199	RPC_NETWORK_ERROR_DIALOG_MESSAGE	Se ha producido un error de conexión con el servidor. Comprueba los ajustes de conexión y el entorno de red de tu dispositivo y vuelve a intentarlo.	
1295101996930540142	RPC_NETWORK_ERROR_DIALOG_RETRY	Volver a intentarlo	
8035254070518805654	RPC_NETWORK_ERROR_DIALOG_LOGOUT	Cerrar sesión	
-3050645190285210651	RPC_LOW_NETWORK_CONNECTIVITY	Conectividad de red baja.	
4512608309946328130	LOGIN_PROVIDER_SUPER_AWESOME	NIANTIC KIDS	
-8965300778396787175	SUPER_AWESOME_REGISTER_URL	https://niantic-sso.kws.superawesome.tv/en/register	
6270310653121693548	SUPER_AWESOME_FORGOT_PASSWORD_URL	https://niantic-sso.kws.superawesome.tv/en/password/forgot	
-7626676094642488070	SUPER_AWESOME_REGISTER_LINK	Registrarse en NIANTIC KIDS	
3275053985847360669	SUPER_AWESOME_FORGOT_PASSWORD_LINK	¿Has olvidado la contraseña?	
5982968124835893551	SUPER_AWESOME_LOGIN_BUTTON_LABEL	INICIAR SESIÓN	
3964752675042012136	WARNING_NO_PARENT_PERMISSION	Necesitas permiso para usar esta aplicación. Pídele a un adulto que te ayude a actualizar los ajustes de permisos.	
-7441700699426561529	WARNING_NO_PARENT_LOCATION_PERMISSION	Necesitas permiso de ubicación para usar esta aplicación. Pídele a un adulto que te ayude a actualizar los ajustes de permisos.	
-5865499962591753408	NINTENDO_LOGIN_LINK_DIALOG_TITLE	¿Quieres vincular una cuenta Nintendo?	
2431161683080852335	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION	Podrás usar tu propio Mii cuando vincules tu cuenta Nintendo.	
-3609274247829970764	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION_BONUS	Recibirás una plántula especial al vincular tu cuenta Nintendo por primera vez.	
3926443522744415828	NINTENDO_LOGIN_LINK_BUTTON	Vincular	
-5552338891179848182	NINTENDO_LOGIN_BONUS_DIALOG_TITLE	¡Has conseguido una plántula especial por vincular tu cuenta Nintendo!	
-5675915195141523149	NINTENDO_LOGIN_BONUS_DIALOG_DESCRIPTION	Se ha añadido una plántula especial a tu lista de plántulas.	
