# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
-3208216120833537346	RPC_NETWORK_ERROR_DIALOG_TITLE	Erreur de réseau	
120322519350465199	RPC_NETWORK_ERROR_DIALOG_MESSAGE	La communication avec le serveur a échoué. Vérifier les paramètres et l'environnement réseau de votre appareil et réessayer.	
1295101996930540142	RPC_NETWORK_ERROR_DIALOG_RETRY	Réessayer	
8035254070518805654	RPC_NETWORK_ERROR_DIALOG_LOGOUT	Déconnexion	
-3050645190285210651	RPC_LOW_NETWORK_CONNECTIVITY	Faible connectivité réseau.	
4512608309946328130	LOGIN_PROVIDER_SUPER_AWESOME	NIANTIC KIDS	
-8965300778396787175	SUPER_AWESOME_REGISTER_URL	https://niantic-sso.kws.superawesome.tv/fr/register	
6270310653121693548	SUPER_AWESOME_FORGOT_PASSWORD_URL	https://niantic-sso.kws.superawesome.tv/fr/password/forgot	
-7626676094642488070	SUPER_AWESOME_REGISTER_LINK	S'inscrire sur NIANTIC KIDS	
3275053985847360669	SUPER_AWESOME_FORGOT_PASSWORD_LINK	Mot de passe oublié ?	
5982968124835893551	SUPER_AWESOME_LOGIN_BUTTON_LABEL	CONNEXION	
3964752675042012136	WARNING_NO_PARENT_PERMISSION	Pour utiliser cette application, il vous faut une autorisation. Demandez à un adulte de vous aider à mettre à jour les paramètres d'autorisation.	
-7441700699426561529	WARNING_NO_PARENT_LOCATION_PERMISSION	Pour utiliser cette application, il vous faut une autorisation de localisation. Demandez à un adulte de vous aider à mettre à jour les paramètres d'autorisation.	
-5865499962591753408	NINTENDO_LOGIN_LINK_DIALOG_TITLE	Voulez-vous associer un compte Nintendo ?	
2431161683080852335	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION	Si vous associez votre compte Nintendo, vous pourrez utiliser votre propre Mii.	
-3609274247829970764	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION_BONUS	Vous recevrez aussi une pousse spéciale si vous associez votre compte Nintendo pour la première fois.	
3926443522744415828	NINTENDO_LOGIN_LINK_BUTTON	Associer maintenant	
