# DO NOT EDIT this file. It is generated by com.nianticproject.ichigo.i18n.LocalizationMessageTsvGenerator
id	constant	phrase	plural phrase
-3208216120833537346	RPC_NETWORK_ERROR_DIALOG_TITLE	網路錯誤	
120322519350465199	RPC_NETWORK_ERROR_DIALOG_MESSAGE	與伺服器的通訊失敗。請檢查裝置的網路設定和環境後再試一次。	
1295101996930540142	RPC_NETWORK_ERROR_DIALOG_RETRY	重試	
8035254070518805654	RPC_NETWORK_ERROR_DIALOG_LOGOUT	登出	
-3050645190285210651	RPC_LOW_NETWORK_CONNECTIVITY	通訊狀況不穩定。	
4512608309946328130	LOGIN_PROVIDER_SUPER_AWESOME	NIANTIC KIDS	
-8965300778396787175	SUPER_AWESOME_REGISTER_URL	https://niantic-sso.kws.superawesome.tv/en/register	
6270310653121693548	SUPER_AWESOME_FORGOT_PASSWORD_URL	https://niantic-sso.kws.superawesome.tv/en/password/forgot	
-7626676094642488070	SUPER_AWESOME_REGISTER_LINK	註冊NIANTIC KIDS	
3275053985847360669	SUPER_AWESOME_FORGOT_PASSWORD_LINK	忘記密碼？	
5982968124835893551	SUPER_AWESOME_LOGIN_BUTTON_LABEL	登入	
3964752675042012136	WARNING_NO_PARENT_PERMISSION	請監護人來看看吧。如果要使用此應用程式，你必須獲得監護人的許可。請更改設定。	
-7441700699426561529	WARNING_NO_PARENT_LOCATION_PERMISSION	請監護人來看看吧。如果要使用此應用程式，你必須獲得監護人對存取位置資訊的許可。請更改設定。	
-5865499962591753408	NINTENDO_LOGIN_LINK_DIALOG_TITLE	要與Nintendo Account連動嗎？	
2431161683080852335	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION	與Nintendo Account連動後就能使用專屬於你的Mii。	
-3609274247829970764	NINTENDO_LOGIN_LINK_DIALOG_DESCRIPTION_BONUS	此外，作為首次與Nintendo Account連動的特典，更能獲得可以成長為特別皮克敏的花苗！	
3926443522744415828	NINTENDO_LOGIN_LINK_BUTTON	連動	
-5552338891179848182	NINTENDO_LOGIN_BONUS_DIALOG_TITLE	獲得了Nintendo Account連動特典的花苗！	
-5675915195141523149	NINTENDO_LOGIN_BONUS_DIALOG_DESCRIPTION	已新增到花苗列表。	
6467743691056327219	NINTENDO_LOGIN_BONUS_DIALOG_DESCRIPTION_2	現在可以使用帳號的Mii了	
-4873722125508925441	INCONSISTENT_AGE_LEVEL_WITH_ADULT_PLAYER	無法使用兒童帳號登入。	
-3718907272190744923	INCONSISTENT_AGE_LEVEL_WITH_KIDS_PLAYER	這是成人帳號。\n由於你的年齡被區分為兒童，故無法使用這個帳號登入。	
-1814714920489092509	NINTENDO_LOGIN_NO_MII_SET_DIALOG_DESCRIPTION	已連動的帳號沒有Mii。請按[建立自己的Mii]按鈕來建立Mii吧。	
-472925358362562323	ACCOUNT_LINK_CANCEL	已取消與帳號連動。	
-5635259498562488152	FACEBOOK_LOGIN_REQUIRES_APP_TRACKING_PERMISSION	如果要使用Facebook帳號，必須允許Pikmin Bloom使用您的應用程式或網頁活動。\n※如果隱私設定為不允許由應用程式追蹤，請先按照以下步驟更改設定。（之後需要個別進行設定。）\n\n1. 打開設定，選擇「隱私」\n2. 點擊「追蹤」，開啟「允許從App追蹤」	
1932032625298045791	FACEBOOK_LOGIN_PERMISSION_FAILED	無法取得必要的許可。	
-4791526398844371231	FACEBOOK_LOGIN_UNLINK_UNLESS_PERMISSION_GRANTED	解除與Facebook帳號的連動	
-6261744157366888903	LOGIN_FAILED_ERROR	無法登入此帳號。	
-1662518649216984564	LOGIN_PROVIDER_SELECTOR_TITLE	帳號	
5990203908445262045	LOGIN_AGE_GATE_SUBMIT	確定	
7171094051530659721	LOGIN_SIGN_IN_PROVIDER_SELECT	登入方法	
-8063419419280099460	LOGIN_NEW_ACCOUNT_PROVIDER_SELECT	帳號的註冊方法	
-2503503188688998315	LOGIN_PROVIDER_GOOGLE	Google	
8644943804602915250	LOGIN_PROVIDER_FACEBOOK	Facebook	
-380381717348982401	LOGIN_PROVIDER_APPLE	Apple	
1670268103353373479	LOGIN_PROVIDER_NINTENDO	Nintendo	
5129733746667304330	LINK_FAILURE_WITH_KIDS_ACCOUNT	無法連結兒童帳號。	
